@relation monks-3.train

@attribute head_shape {round,square,octagon}
@attribute body_shape {round,square,octagon}
@attribute is_smiling {yes,no}
@attribute holding {sword,balloon,flag}
@attribute jacket_color {red,yellow,green,blue}
@attribute has_tie {yes,no}
@attribute CLASS {A,B}

@data
round,round,yes,sword,red,no,B
round,round,yes,sword,yellow,yes,B
round,round,yes,sword,yellow,no,B
round,round,yes,sword,green,yes,A
round,round,yes,sword,blue,yes,A
round,round,yes,balloon,red,yes,B
round,round,yes,balloon,yellow,no,B
round,round,yes,balloon,blue,no,A
round,round,no,sword,yellow,no,B
round,round,no,sword,blue,no,A
round,round,no,balloon,yellow,no,B
round,round,no,balloon,blue,yes,A
round,round,no,balloon,blue,no,A
round,round,no,flag,red,yes,B
round,round,no,flag,red,no,B
round,round,no,flag,green,yes,B
round,round,no,flag,green,no,B
round,square,yes,sword,green,yes,B
round,square,yes,balloon,yellow,yes,B
round,square,yes,balloon,yellow,no,B
round,square,yes,balloon,green,yes,A
round,square,yes,flag,red,yes,B
round,square,yes,flag,red,no,B
round,square,yes,flag,yellow,yes,B
round,square,yes,flag,yellow,no,B
round,square,yes,flag,green,no,B
round,square,yes,flag,blue,yes,A
round,square,no,sword,green,yes,B
round,square,no,sword,blue,no,A
round,square,no,balloon,red,yes,B
round,square,no,balloon,yellow,yes,B
round,square,no,balloon,yellow,no,B
round,square,no,flag,red,yes,B
round,square,no,flag,yellow,yes,B
round,square,no,flag,yellow,no,B
round,octagon,yes,sword,yellow,yes,A
round,octagon,yes,sword,blue,yes,A
round,octagon,yes,balloon,green,no,A
round,octagon,yes,balloon,blue,yes,A
round,octagon,yes,flag,red,yes,A
round,octagon,yes,flag,green,yes,A
round,octagon,no,sword,red,yes,A
round,octagon,no,sword,red,no,A
round,octagon,no,sword,yellow,yes,A
round,octagon,no,sword,blue,no,A
round,octagon,no,balloon,green,no,A
round,octagon,no,balloon,blue,no,A
round,octagon,no,flag,blue,yes,A
square,round,yes,sword,red,yes,B
square,round,yes,sword,red,no,B
square,round,yes,sword,blue,yes,A
square,round,yes,sword,blue,no,A
square,round,yes,balloon,red,yes,B
square,round,yes,balloon,red,no,B
square,round,yes,flag,yellow,no,B
square,round,yes,flag,green,no,B
square,round,yes,flag,blue,yes,A
square,round,no,sword,yellow,no,B
square,round,no,balloon,blue,yes,A
square,round,no,flag,red,no,B
square,square,yes,sword,green,no,B
square,square,yes,sword,blue,no,A
square,square,yes,balloon,red,no,B
square,square,yes,balloon,yellow,yes,A
square,square,yes,flag,red,yes,B
square,square,yes,flag,yellow,no,B
square,square,yes,flag,green,yes,A
square,square,yes,flag,green,no,A
square,square,yes,flag,blue,no,A
square,square,no,sword,yellow,no,B
square,square,no,balloon,red,no,B
square,square,no,balloon,green,yes,B
square,square,no,balloon,green,no,B
square,square,no,flag,blue,yes,A
square,octagon,yes,sword,green,yes,B
square,octagon,yes,balloon,red,yes,A
square,octagon,yes,balloon,yellow,yes,A
square,octagon,yes,balloon,yellow,no,A
square,octagon,yes,balloon,green,no,A
square,octagon,yes,flag,green,yes,A
square,octagon,no,sword,red,no,A
square,octagon,no,sword,yellow,no,A
square,octagon,no,sword,blue,yes,A
square,octagon,no,balloon,green,yes,A
square,octagon,no,balloon,blue,no,A
square,octagon,no,flag,red,yes,A
square,octagon,no,flag,yellow,yes,A
square,octagon,no,flag,blue,no,A
octagon,round,yes,sword,red,yes,B
octagon,round,yes,sword,yellow,yes,B
octagon,round,yes,sword,green,yes,B
octagon,round,yes,balloon,blue,no,A
octagon,round,yes,flag,red,no,B
octagon,round,yes,flag,blue,no,A
octagon,round,no,sword,yellow,yes,B
octagon,round,no,balloon,green,no,B
octagon,round,no,balloon,blue,no,A
octagon,round,no,flag,red,yes,B
octagon,square,yes,sword,yellow,no,B
octagon,square,yes,sword,blue,yes,A
octagon,square,yes,balloon,green,yes,B
octagon,square,yes,flag,red,no,B
octagon,square,no,sword,yellow,no,B
octagon,square,no,sword,green,no,B
octagon,square,no,balloon,red,no,B
octagon,square,no,flag,red,yes,B
octagon,square,no,flag,green,no,B
octagon,square,no,flag,blue,yes,A
octagon,octagon,yes,sword,green,no,B
octagon,octagon,yes,sword,blue,yes,B
octagon,octagon,yes,balloon,blue,no,A
octagon,octagon,yes,flag,red,yes,A
octagon,octagon,yes,flag,yellow,yes,A
octagon,octagon,yes,flag,yellow,no,A
octagon,octagon,yes,flag,blue,yes,A
octagon,octagon,no,sword,red,yes,A
octagon,octagon,no,sword,red,no,A
octagon,octagon,no,balloon,yellow,no,A
octagon,octagon,no,balloon,green,no,A
octagon,octagon,no,flag,red,yes,A
octagon,octagon,no,flag,green,no,A
octagon,octagon,no,flag,blue,no,A
